word	nodeType	unit
bad	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
old	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
little	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
underground	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
dangerous	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
wrong	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
well	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
necessary	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
miserable	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
subject	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
suspicious	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
ready	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
hard	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
indefensible	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
correct	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
courteous	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
kind	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
pitiful	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
wrong	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
pitiful	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
big	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
good	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
old	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
happy	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
tough	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
okay	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
safe	ADJ	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child
